Joy,Surprise,Anger,Sadness,Fear,Disgust,Love,Trust,Anticipation
আরোগ্য,,স্বার্থপরতা,অসামাজিক,আসন্ন,অবাধ্য,,লেখক,পুনরুদ্ধারকারী
তারকা,,লুণ্ঠন,কলঙ্কিত,অদৃশ্য,ভ্যাম্পায়ার,,কার্যকর,আদালত
ফুল,,অহংকারী,বোকা,অবনতি,উপেক্ষিত,,কোষাধ্যক্ষ,সর্বোচ্চ
মুচকি,,পিকেটিং,বিস্ফোরণ,কবর,অস্পষ্ট,,প্রশিক্ষক,শীঘ্রই
অগ্রগতি,,উদ্ধত,বাজেয়াপ্ত,ঝুঁকিপূর্ণ,অজ্ঞ,,রায়,শুভ
সমতা,,মরণ,অপ্রীতিকর,শক্তিহীন,অসন্তুষ্ট,,ন্যায়পরায়ণ,চিঠিপত্র
শৈশব,,অবৈধতা,অভিযোগ,ঝুঁকি,বিরতি,,কমিশন,উদারতা
একসাথে,,ভেটো,ভুলে,দ্বন্দ্ব,অপছন্দ,,খালা,ঝকঝকে
ছন্দময়,,বিভ্রান্ত,সংক্রমণ,বারুদ,বেআইনি,,নথিভুক্ত,স্বেচ্ছাচারী
পূর্ণতা,,অবৈধ,প্রতিরক্ষাহীন,হাঙ্গামা,পুনর্বিবেচনা,,পদক,ঘটবে
চড়ুইভাতি,,তীব্র,উপহাস,শাহাদাত,জাল,,হেফাজত,কম্পন
চলচ্চিত্র,,অস্বীকৃতি,বিভ্রম,অনিরাপদ,অসন্তুষ্টি,,কুরিয়ার,চিঠি
প্রবল,,সংগ্রাম,ছিনতাই,খারাপ,অকৃতজ্ঞ,,ব্যাংক,ব্রত
উদ্দীপনাপূর্ণ,,স্বৈরাচার,দমবন্ধ,পাপ,নির্দয়,,পাঠ,তীক্ষ্ণ
গায়কদল,,দ্বিমত,দুর্বলতা,জাদু,নকল,,ধর্মতাত্ত্বিক,দ্বন্দ্ব
অর্থপূর্ণ,,বেআইনি,বন্ধুত্বহীন,নিষ্ক্রিয়,দুর্ভাগ্য,,সহকারী,হুমকি
তারকাখচিত,,ভুলভাবে,ক্ষয়প্রাপ্ত,ক্ষয়,বিরূপ,,রাষ্ট্রপতি,সৃষ্টিকর্তা
কেনাকাটা,,আল্টিমেটাম,দুর্ঘটনা,ময়নাতদন্ত,অভাব,,গভর্নর,গ্রাস
উপাসনা,,বিভেদ,স্থগিত,দুঃখ,অপ্রাকৃত,,ভোর,ব্যাখ্যাতীত
লাফ,,মর্মাহত,পাপ,দুর্বলতা,অনুভূতিহীন,,সভানেত্রী,সংক্রামক
যোগাযোগ,,শাস্তিমূলক,অন্ধত্ব,গর্জন,কঠোরতা,,নাবিকদল,মহিমান্বিত
শ্রদ্ধেয়,,মূল্যহীন,অনিরাপদ,কলঙ্ক,ধ্বংস,,উপপাদ্য,জমা
উদীয়মান,,বিচ্ছিন্নতাবাদী,একনায়কত্ব,বিচ্ছু,ব্যর্থতা,,স্যার,নথিভুক্ত
অগ্রিম,,মুক্তিপণ,অপ্রত্যাশিত,অ্যাপেন্ডিসাইটিস,চাটা,,অপারেশন,একীকরণ
মধুর,,পলাতক,হারান,সাইরেন,অনিয়মিত,,পরিচালক,অভিকর্ষ
সরলতা,,জ্বালা,উদ্বেগ,ব্রিগেড,দুঃখজনকভাবে,,সূত্র,গ্লাইড
অবিস্মরণীয়,,মূর্খতা,মৃত্যুহার,সাবধান,কৃপণ,,রসায়নবিদ,অনুষঙ্গী
যৌবন,,আলাদা,বিশৃঙ্খলার,অসুস্থ,বিমুখতা,,চ্যান্সেলর,লালন
প্রাকৃতিক,,বিস্মৃতি,উত্তেজক,তাড়ানো,দণ্ডিত,,প্রভু,পূজা
অনন্য,,পরিশোধ,দীর্ঘস্থায়ী,সূঁচ,বিচ্ছু,,বর,ক্ষমতাশালী
খালাস,,অসঙ্গত,অস্বস্তি,প্রতিরক্ষাহীন,মফ,,পরিসংখ্যানগত,সূত্র
বিড়ালছানা,,উচ্ছেদ,বমি,আবির্ভাব,প্রহসনমূলক,,নিয়ন্ত্রক,পদক
পবিত্রকরণ,,মার্শাল,অধার্মিক,বন্যা,অসামাজিক,,পরিবহন,চিন্তা করা
সমঝোতা,,প্রতিরক্ষা,পচা,অবমাননা,কঠিন,,সালিসকারী,বিপদজনক
উন্নতি,,হৈচৈ,কাঁপানো,উৎখাত,শাস্তি,,মঠ,নির্ধারণ করা
খাঁটি,,প্রতারণামূলক,গনোরিয়া,গনোরিয়া,বহিষ্কার,,নির্বাচিত,সালিশ
আলো,,সহানুভূতিহীন,পাগল,জবরদস্তি,বিলাপ,,গ্রামবাসী,প্রাপক
অনুভূতি,,আড়াল,অসহিষ্ণু,বিপদে,নিরক্ষর,,ভাগ্য,স্কোর
স্বাধীন,,গোলমাল,অসুবিধা,বার্ধক্য,বিবাহবিচ্ছেদ,,সূর্য,নির্যাতন
পবিত্র,,ক্ষমতাশালী,বর্জন,নিমজ্জন,উচ্ছেদ,,ভিত্তি,আভা
দক্ষতা,,অসন্তুষ্টি,নেতিবাচক,কবরস্থান,হতাশ,,দাম্পত্য,প্রশংসনীয়
পুনরুজ্জীবন,,অশালীনতা,দেউলিয়াত্ব,খারাপতা,জঞ্জাল,,উইল,ফুটবল
দাতা,,রাষ্ট্রদ্রোহ,বার্ধক্য,পরিত্যক্ত,অভিমানী,,বৃত্ত,অভিজাত
সুর,,নির্বাসন,অসম্ভব,পালিয়ে,অ্যানাকোন্ডা,,ব্যাকরণ,অজানা
কোলাহল,,ফাটল,মাদকাসক্ত,প্রত্যাখ্যান,অপরাধবোধ,,রক্ষণাবেক্ষণ,অগ্রদূত
উদ্দেশ্য,,দ্বন্দ্ব,ক্লান্ত,অনাচার,পলাতক,,হিসাবরক্ষক,প্রদান
অতিক্রম,,কটাক্ষ,পরবর্তী,ম্যানিপুলেশন,বলিদান,,করুণা,মিষ্টি
আনুকূল্য,,দাগ,বিক্ষুব্ধ,ভাঙ্গা,শক,,লেনদেন,অপেরা
ফল,,নির্বাস,কোমা,মাংসাশী,দুর্দশা,,স্বতঃসিদ্ধ,গতি
বিনীত,,নির্লজ্,অবমাননা,পুরুষত্বহীনতা,জ্বালা,,সক্ষমতা,নগদ
বাচ্চারা,,অশ্লীল,মন্দা,অস্থিতিশীল,অযোগ্য,,ডায়েরি,লতানো
সেলিব্রিটি,,বাজেয়াপ্ত,চিৎকার,অনুপ্রবেশ,অসদাচরণ,,বহুবর্ষজীবী,আহ্বান
তাল,,ভয়াবহ,দমন করা,চুপিসাড়ে,ত্রুটিপূর্ণ,,ট্রাস,তারকা
স্পা,,আতঙ্কজনক,ফাঁকি,উন্মাদ,দোষ,,শিক্ষানবিশ,নড়বড়ে
তুষারপাতের,,বিরোধিতা,হাসপাতাল,কুসংস্কার,স্থানচ্যুত,,ধর্মতান্ত্রিক,উত্পাদন
তুষারপাত,,ছিঁচকে,ঝামেলা,জোঁক,বৃথা,,ফোরাম,অবিলম্বে
পরিচিতি,,অবরোধ,প্রতিশোধ,অমানব,ছিনতাই,,এন্টিসেপটিক,ভোর
কফি,,মিথ্যা,অপর্যাপ্ত,দাস,অস্বাস্থ্যকর,,পুনর্বিবেচনা,তারকাখচিত
বাগান,,বিভ্রম,আর্সেনিক,ফ্রিকআউট,বর্জন,,দোকানদার,অতুলনীয়
ভোর,,অচিন্তনীয়,নাশকতা,ঝোড়ো,মোহভঙ্গ,,শ্রম,সমাপ্তি
গুণগ্রাহী,,উপদ্রব,সমালোচনা,সাসপেন্স,ধাপ্পাবাজি,,গেজেট,ভাড়া
ভোজনরসিক,,আঘাতমূলক,প্রতিকূলতা,রক্ত,অমানব,,সংরক্ষণকারী,চকচকে
গীত,,মানহানি,ক্লান্তি,ভালুক,বেমানান,,স্ত্রী,টেস্টামেন্ট
পেডিকিউর,,মামলা,কাপুরুষ,বেআইনি,অদ্ভুততা,,রিপোর্টার,জীবিত
কিচিরমিচির,,নিভিয়ে,ভিক্ষা করা,নির্বাসন,বরখাস্ত,,ক্রীড়াবিদ,দুর্দশা
সাধু,,জালিয়াতি,সংক্রামক,অচিন্তনীয়,অপ্রত্যাশিত,,রাডার,প্রাথমিক
নিরাময়,,অপ্রত্যাশিত,অসৎ,ডাকাত,হাস্যকর,,বাজেট,অভয়ারণ্য
সত্য,,হট্টগোল,ক্ষয়,যাদুবিদ্যা,দুর্ব্যবহার,,গাছ,রেগাট্টা
শখ,,বন্ধুত্বহীন,অস্বাস্থ্যকর,লুণ্ঠন,চূর্ণ,,মহিমান্বিত,খসড়া
অবকাশ,,ধূর,জ্বালা,তাড়া,অনিশ্চিত,,টহল,সিঙ্ক্রোনাইজ
ঘুঘু,,কারচুপি,রাষ্ট্রদ্রোহ,কপট,উগ্র,,জাতি,সুস্থতা
সহজতর,,অসম্মত,তাড়ানো,সন্দেহ,অবমূল্যায়ন,,ভাষাবিদ,নিষ্কাশন
ফিটনেস,,হতাশা,অসম্মতি,উত্তেজিত,অশ্রুসিক্ত,,ভদ্র,এক্সেল
সূর্যাস্ত,,অনৈতিকতা,যোগসাজশ,কঠোরতা,বকবক,,ছাড়পত্র,খোঁচা
বুদ্ধি,,রাইফেল,ড্যাশড,স্টিং,অস্থির,,নির্বাচকমণ্ডলী,অকথিত
খেলাঘর,,অসুবিধা,সংঘর্ষ,আবদ্ধতা,বিরক্ত,,সাংবাদিকতা,উজ্জ্বল
সুপারম্যান,,পিকেট,অবৈধ,দমন,জরুরী,,নীড়,প্রফুল্লতা
কারুশিল্প,,আটকানো,প্রতিকূল,অবৈধ,বিবর্ণতা,,জনপ্রিয়,বন্ধুত্বপূর্ণ
প্রভু,,ত্রুটিপূর্ণ,মেজাজ,পতন,হাইড্রোফোবিয়া,,বিনিময,মেইল
সৎ,,ধূর্ত,পুনর্বিবেচনা,নিষিদ্ধ,নিয়ন্ত্রণহীন,,বার্তাবাহক,অপ্রত্যাশিত
ভোজ,,মোহভঙ্গ,বাকি,পাপী,ধূর্ত,,বন্ধুরা,বাস্কেটবল
প্রতিষ্ঠিত,,হতাশাবাদ,হাম,নষ্ট,অসন্তোষজনক,,অনুবাদ,উদ্বোধনী
শোভাকর,,রিমান্ড,যত্নহীন,পূর্বপরিকল্পিত,বিভ্রান্তিকর,,সরাসরি,আধিপত্য
হাঁটা,,কামান,আধিপত্য,সুউচ্চ,দুর্ঘটনা,,অনুষদ,পুনর্বাসন
কৃতিত্ব,,তির্যক,কুখ্যাতি,অপ্রতিরোধ্য,ঝুল,,কারফিউ,অন্তরঙ্গভাবে
নৈতিকতা,,অসম্মানজনক,লুণ্ঠন,অস্থির,দাবিত্যাগ,,অধিকারী,কর্মজীবন
ভ্রাতৃত্বপূর্ণ,,নিষেধ,অবমূল্যায়ন,অ্যাম্বুলেন্স,আবদ্ধ,,পছন্দ,প্রতিরোধ
নরমভাবে,,অভাব,খারাপভাবে,হট্টগোল,অসম,,সামঞ্জস্য,প্রস্তাবনা
ফসল,,ভাঙ্গা,বেআইনি,চমকানো,ন্যাকড়া,,মূল্যায়নকারীট,কমনীয়তা
মৃদুমন্দ,,উচ্ছৃঙ্খল,ক্লেশ,ধড়ফড়,কাতরানো,,বিশ্বজনীন,পরিপূরক
জোকার,,কটুক্তি,সর্বস্বান্ত,হ্যালুসিনেশন,অনুপযুক্ত,,ম্যানুয়াল,চমকানো
স্বেচ্ছাসেবক,,দুর্ব্যবহার,উদ্বাস্তু,সিরিঞ্জ,সমালোচনা,,সুন্দর,অনন্ত
লাভ,,কলঙ্ক,আতিথেয়তাহীন,পক্ষপাতদুষ্ট,হাঁচি,,সিনেট,চিরস্থায়ীতা
সম্পদ,,অমানব,বিভ্রান্তি,অভিযোগ,ঠুং,,ডলফিন,সূর্যাস্ত
সৃষ্টি,,নষ্টকারী,অস্বীকৃতি,নিরাপত্তাহীনতা,অগ্রহণযোগ্য,,জামানত,মানানসই
গ্রহণ,,ত্রুটি,উত্থান,উপত্যকা,হিসাবহীন,,মাইক্রোস্কোপ,আত্মবিশ্বাস
মহাসাগর,,কঠিন,ধ্বংসাবশেষ,ফাটল,খুপরি,,বিশেষাধিকারপ্রাপ্,আড়াল
হাইকিং,,অবিশ্বস্ত,তুষারপাত,হাসপাতাল,কুরুচিপূর্ণ,,ব্যাংকার,নিখুঁত
চিরসবুজ,,পক্ষপাত,অভাব,বর্ম,তিরস্কার,,প্রশাসন,মহামারী
গন্তব্য,,ছিনতাই,অশ্লীলতা,যোদ্ধা,বিলম্ব,,অ্যাটর্নি,ফ্যান
যুদ্ধবিরতি,,অসামাজিক,তিক্ত,কাটা,গর্জন,,খেলার মাঠ,স্বেচ্ছাসেবক
টোস্ট,,জলদস্যু,রিভলবার,অভিযুক্ত,ব্যথা,,চাকর,ভাগ
গুঞ্জন,,কৃপণ,ভুলভাবে,ইঁদুর,উপেক্ষা,,সম্পাদিত,ঘিরে
পূজনীয়,,উদ্বেগ,স্বৈরাচার,সিংহ,দুর্বৃত্ত,,আইনসভা,সূর্য
ভারসাম্য,,অবনতি,নিচু,কাঁপুনি,একাকী,,খ্যাতি,সত্যতা
বুদ্ধ,,অন্তহীন,দায়বদ্ধতা,ভাঙ্গন,ফ্লপ,,মৃত্যুদন্ড,সিরিয়াল
ধর্মপ্রাণ,,বিরূপ,বাতিল,অবৈধতা,কুখ্যাত,,তত্ত্ব,ফেরেশতা
পানীয়,,কুখ্যাত,আবদ্ধতা,অবিশ্বাস,অস্বস্তিকর,,কর্পোরেশন,সাধু
সাঁতার,,বিবেচনাহীন,ধাক্কাধাক্কি,ডুবন্ত,অসভ্য,,উদ্যম,সুড়সুড়ি
রবিবার,,নিষিদ্ধ,মতভেদ,আত্মাহীন,অদক্ষতা,,নিষ্পত্তি,কুসংস্কার
স্কেচিং,,নকল,আবেগপূর্ণ,উগ্র,কটুক্তি,,শুভদিন,সংরক্ষণ
নম্রতা,,পাঁঠা,অলসতা,জ্বর,অক্টোপাস,,রড,ধর্মপ্রাণ
তরঙ্গ,,ধর্মযুদ্ধ,সহানুভূতিশীল,পচন,বদমাশ,,টুপি,সম্মান
সূর্য,,অবমূল্যায়ন,উদাসীন,শাসন,কটাক্ষ,,ব্যক্তিত্ব,পুনর্গঠন
যোগব্যায়াম,,বরখাস্ত,নিষেধ,বর্শা,সন্দেহজনক,,বড়ি,ধার্মিকতা
মনোবল,,অসাবধানতা,কলঙ্ক,ঝামেলা,দীর্ঘায়িত,,স্পা,বিশ্বাস
শিল্পকর্ম,,চিন্তাহীন,প্রস্থান,নিন্দা,ভুল বিবৃতি,,মন্ড,পাগল
অনুশীলন,,অনুভূতিহীন,কম,নিঃস্ব,পদত্যাগ,,অভিনেত্রী,আবেদন
পরিষ্কার,,অচলাবস্থা,অ্যাপেন্ডিসাইটিস,শক্তিশালীভাবে,অনগ্রসরতা,,সতর্ক,চিকিৎসা
নির্মলতা,,ধাপ্পাবাজি,নিরর্থক,আশংকা,ভর্তুকি,,সূর্যালোক,যাত্রী
মানানসই,,বিষণ্ণ,অবিবেচক,ডাইনোসর,উচ্ছৃঙ্খল,,থার্মোমিটার,দাতব্য
ব্যায়াম,,অপচয়কারী,অপ্রাপ্য,রাইফেল,তীব্র,,কেনাকাটা,সারণী
খাদ্য,,পক্ষাঘাত,বিদায়কালীন,অপরিচিত,এড়ানো,,প্রতিরোধ,শান্তি
শরৎ,,মেরুদণ্ড,বাতিলকরণ,প্রতিরোধ,ভ্রুকুটি,,সমতল,ইনস্টল
ফিট,,টিজিং,সমস্যা,তিরস্কার,অসুখী,,কংগ্রেসম্যান,নির্মলতা
সকাল,,প্রতিক্রিয়া,শত্রুতা,প্রহার,বকেয়া,,ম্যান্ডারিন,পূজনীয়
মোমবাতি,,বেমানান,হ্রাস,প্রণালী,উদাসীনতা,,ডিভান,স্পা
গ্রামাঞ্চল,,পুনরুদ্ধার,অসচ্ছলতা,চাপ,বিশ্রীতা,,বকেয়া,গোলকধাঁধা
প্রদর্শক,,ট্রল,তুচ্ছ,আকস্মিক,বিদ্রুপ,,ক্ষুদ্র,সুস্বাদু
ফুটবল,,অসম্মতি,স্থানচ্যুত,আবছায়ায়,অসুবিধাজনক,,বাছুর,চিরস্থায়ী
অমৃত,,না,পলাতক,বহিষ্কার,বিপথগামী,,চুলের,কৌশলবিদ
দর্শনার্থী,,অপরিপক্কতা,ফোড়া,পরীক্ষা,সেলিব্রিটি,,চিৎকার,যাচাই
হাততালির,,যত্নহীন,জবরদস্তি,নড়বড়ে,অচলাবস্থা,,ওজন,ট্রাইব্যুনাল
হাততালি,,শক,সীমাবদ্ধতা,ট্রাইব্যুনাল,ক্ষুদ্রতর,,মেশিন,হাততালি
ডায়েরি,,নারীবাদ,বিরক্তিকর,গোপন,ডুবে,,উৎসব,শান্তিপূর্ণ
পর্বত,,অসুবিধাজনক,অযোগ্য,ছিনতাই,সন্দেহাতীত,,খচ্চর,ধৈর্য
দোলনা,,অতিরঞ্জিত,ডুবে,বাত,কোলাহল,,সংগ্রাম,অমীমাংসিত
মিছিল,,হারান,নিষ্কাশন,কাঁটা,ধাক্কাধাক্কি,,ভোলা,এডিফিকেশন
সংরক্ষণকারী,,চুল্লি,প্রতিশোধ,টার্গেটিং,ধূসর,,আত্মসমর্পণ,মরুদ্যান
হত্তয়া,,পাথর,ভূতুড়ে,বাধা,অসমতা,,অস্বীকার,হাসি
প্রাতঃরাশ,,উত্যক্ত,কাটা,হাঁপাচ্ছে,আনাড়ি,,কংগ্রেস,শ্রদ্ধা
জীবনকাল,,সশব্দ,সিস্ট,অভাব,ক্ষমতাশালী,,সুখী,অকপট
আদেশ,,কুখ্যাতি,চোর,রহস্যময়,নাউযুবিল্লাহ,,সেলিব্রিটি,ভিস্তা
শিল্প,,বেত,ভিক্ষুক,শাস্তিমূলক,,,জয়,ষড়যন্ত্রকারী
নার্সারি,,আজেবাজে,ছিঁড়ে,ঝড়,,,আপনি,প্রবাহিত
স্কিইং,,ব্যর্থ,বিচ্যুতি,অজ্ঞান,,,ইন্ডেন্ট,স্বীকৃত
পুতুল,,বদমাশ,ঝাঁকুনি,বিভ্রম,,,অটিজম,আটকান
ভোট,,অবাঞ্ছিত,অসম,হতাশা,,,অ্যান্টিফাঙ্গাল,চালিয়ে যান
বীণা,,পরিত্যক্ত,দুষ্প্রাপ্য,দখল,,,খান,জ্যোতিষী
প্যাস্ট্রি,,অপ্রাপ্য,প্রতিবন্ধী,হাইড্রা,,,ফ্যাশন,মধ্যস্থতা
প্রতিকার,,দেউলিয়াত্ব,আক্রমণকারী,কুখ্যাত,,,অ্যাক্রোব্যাট,সময়নিষ্ঠ
ফায়ারফ্লাই,,মশা,খসখসে,ট্রল,,,উদ্দীপনাপূর্ণ,সকাল
উদ্ধার,,বিভ্রান্তি,বহিষ্কার,অপ্রাকৃত,,,ট্রান্স,সহ্য করা
ক্যাম্পিং,,বেশি,অর্থহীন,বিষণ্নতা,,,গোপনীয়তা,আদেশ
দৃষ্টিকোণ,,মরুভূমি,দাবানল,ঘোরা,,,আমলাতন্ত্র,কল
অর্কেস্ট্রা,,দুর্ভাগ্য,সামন্তবাদ,আল্টিমেটাম,,,বণিক,বন্দী
হাওয়া,,বিক্ষিপ্ত,আপত্তিকর,সাসপেনশন,,,বোঝা,ওজন
অধিকারী,,বিলম্ব,অধীন,প্রতিকূলতা,,,তিক্ততা,দক্ষতা
উপলক্ষ,,অনিরাপদ,অনিশ্চিত,বহিরাগত,,,গাসেট,গান
রেগে,,বিড়বিড়,ধাপ্পাবাজি,কদর্যতা,,,বোন,ধারাবাহিকতা
শেখান,,প্রাপ্য,দোষ,শকুন,,,হ্যান্ডজেল,বিশ্ববিদ্যালয়
দ্রুত,,মুক্তি,স্ট্রোক,ঘেটো,,,ডাল,চিকান
ফিতা,,সিদ্ধান্তহীন,দীর্ঘশ্বাস,পীড়িত,,,সার্থকতা,লালনপালন
বৃষ্টির,,ভেড়া,প্রলয়,প্রভাবশালী,,,হাসি,মা
শোধ,,খচ্চর,বকেয়া,বেপরোয়া,,,সেন্সর,দণ্ডিত
ঘুম,,তুচ্ছ,গুরুত্ব,দেউলিয়া,,,প্যান,পলক
বৈধ,,গুজব,খাঁচা,দাগ,,,শান্ত,স্বীকারোক্তি
সংরক্ষণ,,অনিশ্চিত,স্ট্রেচার,স্ট্রেচার,,,ব্রুহ,বাইরে
গাছ,,ভান,অদক্ষ,সর্বশক্তিমান,,,পরিখা,প্রফিল্যাকটিক
ধর্মগ্রন্থ,,প্রচারণা,বামন,ধ্বংসস্তূপ,,,রিসেলার,গর্বিত
চা,,সারচার্জ,অযোগ্যতা,পলায়ন,,,থিম,মিডওয়াইফ
শুভ্রতা,,অনভিজ্ঞ,পাশবিক,বরখাস্ত,,,আসক্ত,হেডলাইট
সহানুভূতিশীল,,সহ্য,ঋণ,ব্যাধি,,,অবিশ্বস্ত,দীর্ঘ
পথ,,চুদসে,সংগ্রাম,নখর,,,,ভোজ
স্কোর,,মাদারচোদ,অমার্জনীয়,বিতৃষ্ণা,,,,আরাম
স্নান,,বাইনচোদ,নাশক,চাপযুক্ত,,,,নেভিগেবল
সমর্থক,,মাথানষ্ট,মেঘলা,ষড়যন্ত্র,,,,সাবস্ক্রাইব
সাধনা,,তারছিড়া,নিকৃষ্ট,দলত্যাগ,,,,প্রতিপক্ষ
মধ্যাহ্নভোজন,,হোগামারা,সহানুভূতি,হাহাকার,,,,ডিবেঞ্চার
সেবা,,পুটকিমারা,পতিতাবৃত্তি,ধর্মযুদ্ধ,,,,চুক্তি
বন্ধ,,গজব,দাগ,খণ্ডন,,,,সিম্ফনি
শীতকাল,,শুয়োরের,বিদায়,আড়াল,,,,নজরদারি
সভ্য,,বাচ্চা,ভূমিধস,বৈষম্য,,,,নির্ভরতা
মজুরি,,শুয়োর,বিবেচনাহীন,অসচ্ছলতা,,,,বিভ্রান্তিকর
ডিসেম্বর,,কুত্তার,প্রত্যাহার,মানসিক,,,,ক্ষোভ
ফ্যান,,বাচ্ছা,অনাকর্ষণীয়,কাকতাড়ুয়া,,,,মলম
অবশেষে,,কুত্তা,বিলম্ব,ফাঁদ,,,,সিদ্ধ
পরী,,হারামির,ক্ষমাপ্রার্থী,বেকার,,,,শীর্ষ
পুদিনা,,হারামি,জারজ,দমবন্ধ,,,,বাধ্য
প্রজনন,,হারামজাদা,খালি,উত্তেজনা,,,,দক্ষ
সংগঠন,,হারামখোর,ভুল,হারান,,,,গিলোটিন
বাথটাব,,খাঙ্কিরপোলা,গোলমাল,সন্দেহজনক,,,,প্রতিনিধিত্ব
আবির্ভাব,,খাঙ্কির,বাদী,কঠিন,,,,মৃত্যু
মলম,,পোলা,কম্পন,জরুরী,,,,নিশ্চয়তা
তেল,,খান্কি,অজ্ঞান,দারিদ্র্য,,,,পরিচিতি
সহজ,,মাগি,বেকার,স্পন্দন,,,,বঞ্চিত
বুদ্বুদ,,মাগির,অদক্ষতা,প্রত্যাহার,,,,নিন্দা
বিয়ার,,চোদনা,ব্যার্থ,বাঙ্কার,,,,সন্দেহাতীত
সবুজ,,চুদির,নিষ্ফল,বাধ্য,,,,পবিত্র করা
বাস,,চুতমারানি,অসাড়তা,সুলতান,,,,কূটনীতি
বই,,মায়রে,বাধা,দন্তচিকিৎসা,,,,প্রতিষেধক
চাউ,,চুদি,ঝগড়া,লুকোচুরি,,,,দীর্ঘস্থায়ী
প্রবাহিত,,বাপ,সন্দেহ,ব্যারিকেড,,,,উদ্দেশ্য
নীরবতা,,শালা,হস্তক্ষেপ,পঙ্গপাল,,,,স্থগিত
নির্জনতা,,পুত,স্পয়লার,বিব্রত,,,,মাতৃ
ভিজিয়ে,,মাঙ্গির,বর্জ্য,খাদ,,,,শিল্প
জাপান,,মাঙ্গি,ত্রুটি,শীতলতা,,,,অপূর্ণ
নিরপেক্ষ,,নাটকি,মামলা,কেরোসিন,,,,ইনোকুলেশন
শিকার,,ল্যাউড়ার,অন্ধভাবে,সামরিক,,,,সহজতর
অপেরা,,ল্যাউড়া,কষ্টকর,ঘূর্ণি,,,,নির্ভরশীল
ওজন,,হাউয়ার,ভূত,অজানা,,,,জপ
বায়ু,,পো,মরুভূমি,ঈর্ষা,,,,র্যাম
খোলা,,চুদানির,আটক,শক্তিশালী,,,,ব্যাঙ্গার
শ্রম,,ভুদার,অস্ত্রোপচার,জন্ডিস,,,,খেলার
শাস্ত্রীয়,,বেটা,হিসাবহীন,হতাশাবাদ,,,,শ্রম
হ্রদ,,লটির,দ্বিমত,বিপ্লব,,,,বিজ্ঞানী
বাসস্থান,,লটির,অগ্রহণযোগ্য,সরকার,,,,ভাল
পুকুর,,ভেড়াচ্চোদা,ব্যাকটেরিয়া,দেউলিয়াত্ব,,,,মানবিক
চুমুক,,মাউড়া,অনুর্বর,ভীতু,,,,ব্যর্থ
সংখ্যাগরিষ্ঠ,,গুয়ার,প্রবাহিত,অবজ্ঞা,,,,হাপ
পাতা,,হোগার,অন্তহীন,সতর্ক,,,,কর্তব্যপরায়ণ
বাস্কেটবল,,ভইড়া,না,হাম,,,,স্তোত্র
ক্রিম,,ঠ্যাঁঙ,স্বজনপ্রীত,সাম্প্রদায়িক,,,,জাহাজ
একশো ,,কাইট্টা,তিরস্কার,মাথাব্যথা,,,,বিচক্ষণতা
হাসতে,,পুটকি,ঝাপসা,ডার্ট,,,,সিদ্ধান্তহীন
জিতসি,,দা,ভঙ্গুর,সর্টী,,,,ধীরে ধীরে
আলহামদুলিল্লাহ,,ভইরা,কৃপণ,শোকপূর্ণ,,,,নেভিগেটর
মাশাল্লাহ,,দুম,প্রতিশ্রুতিবদ্ধ,সীমাবদ্ধ,,,,ট্র্যাক
স্যালারি,,হালা,দমন,স্তব্ধ,,,,দোলনা
রহমত,,ল্যাওড়া,মোটা,অভিশংসন,,,,স্টার্লিং
বরকত,,চোদা,ঘাত,প্রহরী,,,,অন্তর্বর্তী
,,বানচোত,নস্টালজিয়া,মানহানি,,,,পর্বত
,,কুত্তাচোদা,প্রতিরোধ,ছাঁটাই,,,,অন্তহীন
,,তর,আফিম,লজ্জা,,,,পাবলিক
,,পুটকিত,স্বীকার,পরিহার,,,,পুনরাবৃত্ত
,,ছড়াইয়া,হায়,কীটপতঙ্গ,,,,স্বাদ গ্রহণ
,,খাওয়ামু,বিভ্রান্ত,দ্বিধা,,,,মেনে চলা
,,বালি,অনুপযুক্ত,একাকীত্ব,,,,বর্শা
,,চুদমু,বিরতি,হিস,,,,পাঠ
,,তরে,নিস্তেজ,বিতর্কিত,,,,নির্দেশাবলী
,,খাঙ্কি,থামানো,বিয়ারিশ,,,,সোনার
,,মাগী,বেমানান,বিরোধী,,,,দ্বিবার্ষিক
,,বালের,মাইগ্রেন,কাটার,,,,সন্তুষ্ট
,,উকুন,বিপত্তি,অস্বীকার,,,,হুম
,,তোর,সঙ্কুচিত,প্যারাসুট,,,,কাঁপুনি
,,হউরিরে,কাঁপুনি,রায়,,,,সুউচ্চ
,,ডিগবাজী,গুরুত্বহীন,মন্দা,,,,বাদ্যযন্ত্র
,,ছি,পদদলিত,ভূত,,,,অফসেট
,,বদর,ধ্বংসস্তূপ,আধিপত,,,,তত্ত্ব
,,জাঙ্গীয়া,নিচে,বুগাবু,,,,ধর্মতত্ত্ব
,,খুইল্যা,ফ্লপ,অনুভূতি,,,,অমৃত
,,আগুন,ক্লান্তভাবে,অবাঞ্ছিত,,,,ভীরুতা
,,লাগায়,বাদ,বাতিল,,,,মোটা
,,বাল,স্বীকারোক্তি,অধীনস্থ,,,,প্রায়শ্চিত্ত
,,ফালায়া,ধূসর,শঙ্ক,,,,শ্রোতা
,,গিট্টু,অনুভূতিহীন,অপসারণ,,,,খাদ্যতালিকাগত
,,মইত্যা,অপসারণ,অনুভূতিহীন,,,,পবিত্রতা
